beta,slope,Q_slow,Q_fast,ΔQ,w_slow,w_fast,ratio,dominant,crit_slope_dQ0,crit_slope_ratio05
8.0,-1.2,0.03125,-0.68,-0.71125,1.2840254166877414,0.004339483270738895,0.0033682097912468294,slow,,
8.0,-1.1757575757575758,0.03125,-0.6642424242424243,-0.6954924242424243,1.2840254166877414,0.004922496817661875,0.0038190036743026546,slow,,
8.0,-1.1515151515151514,0.03125,-0.6484848484848484,-0.6797348484848484,1.2840254166877414,0.005583838767919813,0.00432986871356383,slow,,
8.0,-1.1272727272727272,0.03125,-0.6327272727272727,-0.6639772727272727,1.2840254166877414,0.006334032614150878,0.00490873501765551,slow,,
8.0,-1.103030303030303,0.03125,-0.6169696969696971,-0.6482196969696971,1.2840254166877414,0.007185015689855448,0.005564558270045241,slow,,
8.0,-1.0787878787878786,0.03125,-0.6012121212121212,-0.6324621212121212,1.2840254166877414,0.008150329120209255,0.006307446294863823,slow,,
8.0,-1.0545454545454545,0.03125,-0.5854545454545454,-0.6167045454545454,1.2840254166877414,0.009245333292941959,0.007148799501635717,slow,,
8.0,-1.0303030303030303,0.03125,-0.5696969696969697,-0.6009469696969697,1.2840254166877414,0.01048745227792549,0.008101466218953161,slow,,
8.0,-1.006060606060606,0.03125,-0.5539393939393941,-0.5851893939393941,1.2840254166877414,0.011896451084757549,0.009179913836322415,slow,,
8.0,-0.9818181818181818,0.03125,-0.5381818181818182,-0.5694318181818182,1.2840254166877414,0.013494750170155178,0.010400416513628734,slow,,
8.0,-0.9575757575757575,0.03125,-0.5224242424242425,-0.5536742424242425,1.2840254166877414,0.015307782199704176,0.011781259966890301,slow,,
8.0,-0.9333333333333333,0.03125,-0.5066666666666667,-0.5379166666666667,1.2840254166877414,0.017364396740876118,0.01334296347005222,slow,,
8.0,-0.9090909090909091,0.03125,-0.49090909090909096,-0.522159090909091,1.2840254166877414,0.01969731932692223,0.015108518692505707,slow,,
8.0,-0.8848484848484848,0.03125,-0.4751515151515151,-0.5064015151515151,1.2840254166877414,0.02234367219642142,0.01710364428134648,slow,,
8.0,-0.8606060606060606,0.03125,-0.45939393939393947,-0.49064393939393947,1.2840254166877414,0.025345564994662773,0.01935705414984559,slow,,
8.0,-0.8363636363636363,0.03125,-0.4436363636363636,-0.4748863636363636,1.2840254166877414,0.028750764836299517,0.02190073619626607,slow,,
8.0,-0.812121212121212,0.03125,-0.42787878787878786,-0.45912878787878786,1.2840254166877414,0.032613456391532854,0.024770236591343003,slow,,
8.0,-0.7878787878787878,0.03125,-0.4121212121212121,-0.4433712121212121,1.2840254166877414,0.03699510409057052,0.028004942776190894,slow,,
8.0,-0.7636363636363637,0.03125,-0.39636363636363636,-0.42761363636363636,1.2840254166877414,0.041965430166042594,0.031648355843190895,slow,,
8.0,-0.7393939393939393,0.03125,-0.3806060606060605,-0.4118560606060605,1.2840254166877414,0.04760352409631079,0.0357483399754606,slow,,
8.0,-0.7151515151515151,0.03125,-0.36484848484848487,-0.39609848484848487,1.2840254166877414,0.05399910110350083,0.04035733305742439,slow,,
8.0,-0.6909090909090909,0.03125,-0.3490909090909091,-0.3803409090909091,1.2840254166877414,0.06125392973189742,0.04553249843232947,slow,,
8.0,-0.6666666666666666,0.03125,-0.33333333333333337,-0.36458333333333337,1.2840254166877414,0.06948345122280151,0.05133579311531623,slow,,
8.0,-0.6424242424242423,0.03125,-0.3175757575757575,-0.3488257575757575,1.2840254166877414,0.07881861645388166,0.05783392269193803,slow,,
8.0,-0.6181818181818182,0.03125,-0.30181818181818176,-0.33306818181818176,1.2840254166877414,0.08940796967300702,0.06509814786861673,slow,,
8.0,-0.5939393939393939,0.03125,-0.286060606060606,-0.317310606060606,1.2840254166877414,0.10142001218362752,0.07320390256456923,slow,,
8.0,-0.5696969696969697,0.03125,-0.27030303030303027,-0.30155303030303027,1.2840254166877414,0.11504588359344642,0.0822301790983235,slow,,
8.0,-0.5454545454545454,0.03125,-0.2545454545454545,-0.2857954545454545,1.2840254166877414,0.130502403291305,0.09225863319764058,slow,,
8.0,-0.5212121212121211,0.03125,-0.23878787878787874,-0.27003787878787877,1.2840254166877414,0.14803552054926875,0.10337236125921118,slow,,
8.0,-0.49696969696969695,0.03125,-0.223030303030303,-0.254280303030303,1.2840254166877414,0.16792422814908473,0.11565430574416131,slow,,
8.0,-0.47272727272727266,0.03125,-0.20727272727272725,-0.23852272727272725,1.2840254166877414,0.19048500180793365,0.1291852532329139,slow,,
8.0,-0.4484848484848485,0.03125,-0.1915151515151515,-0.2227651515151515,1.2840254166877414,0.2160768360450925,0.1440414049451971,slow,,
8.0,-0.4242424242424242,0.03125,-0.17575757575757575,-0.20700757575757575,1.2840254166877414,0.24510695662188978,0.16029152276161937,slow,,
8.0,-0.3999999999999999,0.03125,-0.15999999999999995,-0.19124999999999995,1.2840254166877414,0.27803730045319425,0.17799368578624658,slow,,
8.0,-0.37575757575757573,0.03125,-0.14424242424242423,-0.17549242424242423,1.2840254166877414,0.31539186610093917,0.19719173319862746,slow,,
8.0,-0.35151515151515145,0.03125,-0.12848484848484845,-0.15973484848484845,1.2840254166877414,0.3577650518131766,0.2179115171376551,slow,,
8.0,-0.32727272727272727,0.03125,-0.11272727272727273,-0.14397727272727273,1.2840254166877414,0.40583111378630354,0.24015714143049663,slow,,
8.0,-0.303030303030303,0.03125,-0.09696969696969693,-0.12821969696969693,1.2840254166877414,0.4603548951534731,0.2639074128666145,slow,,
8.0,-0.2787878787878787,0.03125,-0.08121212121212115,-0.11246212121212115,1.2840254166877414,0.5222039964224091,0.28911277417591424,slow,,
8.0,-0.2545454545454545,0.03125,-0.06545454545454543,-0.09670454545454543,1.2840254166877414,0.5923625810226774,0.3156930132496489,slow,,
8.0,-0.23030303030303023,0.03125,-0.049696969696969656,-0.08094696969696966,1.2840254166877414,0.6719470356408601,0.34353604256588666,slow,,
8.0,-0.20606060606060606,0.03125,-0.033939393939393936,-0.06518939393939394,1.2840254166877414,0.7622237345360847,0.3724980088960389,slow,,
8.0,-0.18181818181818188,0.03125,-0.018181818181818216,-0.049431818181818216,1.2840254166877414,0.8646291905075961,0.4024049224161747,slow,,
