beta,slope,Q_slow,Q_fast,DeltaQ,w_slow,w_fast,ratio_wfast_wslow,log10_ratio,phase
8.0,-1.2,0.03125,-0.78,-0.81125,1.2840254166877414,0.0019498555228451206,0.0015185490080678837,-2.8185711875521045,SLOW path dominant
8.0,-1.18,0.03125,-0.767,-0.79825,1.2840254166877414,0.002163560575168607,0.0016849826701637303,-2.773404561434166,SLOW path dominant
8.0,-1.16,0.03125,-0.754,-0.78525,1.2840254166877414,0.002400687798444506,0.0018696575373385485,-2.728237935316228,SLOW path dominant
8.0,-1.14,0.03125,-0.741,-0.77225,1.2840254166877414,0.0026638042732643123,0.002074572853967201,-2.6830713091982896,SLOW path dominant
8.0,-1.1199999999999999,0.03125,-0.728,-0.75925,1.2840254166877414,0.002955758433420154,0.0023019469825175253,-2.6379046830803516,SLOW path dominant
8.0,-1.0999999999999999,0.03125,-0.715,-0.74625,1.2840254166877414,0.003279710902343573,0.0025542414189929988,-2.592738056962413,SLOW path dominant
8.0,-1.0799999999999998,0.03125,-0.702,-0.73325,1.2840254166877414,0.0036391687092320246,0.0028341874404788545,-2.5475714308444752,SLOW path dominant
8.0,-1.0599999999999998,0.03125,-0.689,-0.72025,1.2840254166877414,0.004038023255278409,0.0031448156732713684,-2.502404804726537,SLOW path dominant
8.0,-1.0399999999999998,0.03125,-0.6759999999999999,-0.7072499999999999,1.2840254166877414,0.004480592441016624,0.0034894889016875642,-2.4572381786085984,SLOW path dominant
8.0,-1.0199999999999998,0.03125,-0.6629999999999999,-0.6942499999999999,1.2840254166877414,0.004971667410843366,0.003871938472735398,-2.4120715524906604,SLOW path dominant
8.0,-0.9999999999999998,0.03125,-0.6499999999999999,-0.6812499999999999,1.2840254166877414,0.005516564420760777,0.004296304690752344,-2.366904926372722,SLOW path dominant
8.0,-0.9799999999999998,0.03125,-0.6369999999999999,-0.6682499999999999,1.2840254166877414,0.006121182390847275,0.004767181639314752,-2.321738300254784,SLOW path dominant
8.0,-0.9599999999999997,0.03125,-0.6239999999999999,-0.6552499999999999,1.2840254166877414,0.00679206676550539,0.0052896669156488624,-2.2765716741368456,SLOW path dominant
8.0,-0.9399999999999997,0.03125,-0.6109999999999999,-0.6422499999999999,1.2840254166877414,0.007536480372821791,0.005869416815955884,-2.2314050480189076,SLOW path dominant
8.0,-0.9199999999999997,0.03125,-0.5979999999999999,-0.6292499999999999,1.2840254166877414,0.008362482050145418,0.00651270756907382,-2.186238421900969,SLOW path dominant
8.0,-0.8999999999999997,0.03125,-0.5849999999999999,-0.6162499999999999,1.2840254166877414,0.00927901388706475,0.007226503281376469,-2.141071795783031,SLOW path dominant
8.0,-0.8799999999999997,0.03125,-0.5719999999999998,-0.6032499999999998,1.2840254166877414,0.010295998030255056,0.00801853132846428,-2.0959051696650928,SLOW path dominant
8.0,-0.8599999999999997,0.03125,-0.5589999999999998,-0.5902499999999998,1.2840254166877414,0.011424444098180954,0.008897366009818816,-2.0507385435471543,SLOW path dominant
8.0,-0.8399999999999996,0.03125,-0.5459999999999998,-0.5772499999999998,1.2840254166877414,0.01267656836849923,0.009872521372045402,-2.0055719174292164,SLOW path dominant
8.0,-0.8199999999999996,0.03125,-0.5329999999999998,-0.5642499999999998,1.2840254166877414,0.01406592602845523,0.01095455420558539,-1.960405291311278,SLOW path dominant
8.0,-0.7999999999999996,0.03125,-0.5199999999999998,-0.5512499999999998,1.2840254166877414,0.015607557919982858,0.012155178329914957,-1.9152386651933397,SLOW path dominant
8.0,-0.7799999999999996,0.03125,-0.5069999999999998,-0.5382499999999998,1.2840254166877414,0.017318153368134283,0.013487391404453668,-1.8700720390754015,SLOW path dominant
8.0,-0.7599999999999996,0.03125,-0.4939999999999997,-0.5252499999999998,1.2840254166877414,0.01921623085557964,0.014965615638006316,-1.8249054129574631,SLOW path dominant
8.0,-0.7399999999999995,0.03125,-0.4809999999999997,-0.5122499999999997,1.2840254166877414,0.021322338499114024,0.016605853920023568,-1.779738786839525,SLOW path dominant
8.0,-0.7199999999999995,0.03125,-0.4679999999999997,-0.4992499999999997,1.2840254166877414,0.023659276498480965,0.018425863063919863,-1.7345721607215867,SLOW path dominant
8.0,-0.6999999999999995,0.03125,-0.4549999999999997,-0.4862499999999997,1.2840254166877414,0.02625234396568803,0.020445346037937708,-1.6894055346036485,SLOW path dominant
8.0,-0.6799999999999995,0.03125,-0.44199999999999967,-0.47324999999999967,1.2840254166877414,0.029129612806927788,0.022686165264602185,-1.6442389084857103,SLOW path dominant
8.0,-0.6599999999999995,0.03125,-0.42899999999999966,-0.46024999999999966,1.2840254166877414,0.03232223162208186,0.025172579297892676,-1.599072282367772,SLOW path dominant
8.0,-0.6399999999999995,0.03125,-0.41599999999999965,-0.44724999999999965,1.2840254166877414,0.03586476291174886,0.02793150544034029,-1.553905656249834,SLOW path dominant
8.0,-0.6199999999999994,0.03125,-0.40299999999999964,-0.43424999999999964,1.2840254166877414,0.03979555724231605,0.03099281114307866,-1.5087390301318955,SLOW path dominant
8.0,-0.5999999999999994,0.03125,-0.3899999999999996,-0.4212499999999996,1.2840254166877414,0.044157168419693,0.03438963734347282,-1.4635724040139573,SLOW path dominant
8.0,-0.5799999999999994,0.03125,-0.3769999999999996,-0.4082499999999996,1.2840254166877414,0.048996814166275354,0.03815875724069935,-1.418405777896019,SLOW path dominant
8.0,-0.5599999999999994,0.03125,-0.3639999999999996,-0.3952499999999996,1.2840254166877414,0.0543668872883134,0.04234097439329328,-1.3732391517780809,SLOW path dominant
