beta,slope,ΔQ,ratio_wfast_wslow,log10_ratio,phase
8.0,-1.0,-1.2315329605551395,0.0037831924112962947,-2.422141570028038,SLOW path dominant
8.0,-0.95,-1.2277636915762853,0.002917798706087403,-2.5349446724893783,SLOW path dominant
8.0,-0.8999999999999999,-1.2229447771425228,0.0022550511139573476,-2.646843609576563,SLOW path dominant
8.0,-0.8499999999999999,-1.2167914083172182,0.0017538249504620762,-2.7560137555582633,SLOW path dominant
8.0,-0.7999999999999998,-1.208946242479526,0.0013794482046811777,-2.860294601389323,SLOW path dominant
8.0,-0.7499999999999998,-1.198963922583658,0.0011037104123511165,-2.957144859923077,SLOW path dominant
8.0,-0.6999999999999997,-1.1862942009009965,0.0009044928929011858,-3.0435948408015427,SLOW path dominant
8.0,-0.6499999999999997,-1.17026488771545,0.0007652437455023896,-3.116200210728474,SLOW path dominant
8.0,-0.5999999999999996,-1.1500669160485755,0.0006745203999524187,-3.171004910503458,SLOW path dominant
8.0,-0.5499999999999996,-1.1247453620556938,0.0006258549345590218,-3.203526318526013,SLOW path dominant
8.0,-0.49999999999999956,-1.0932023023612216,0.0006183255792307267,-3.208782786295481,SLOW path dominant
8.0,-0.4499999999999995,-1.0542197326054896,0.0006585795458473764,-3.181391761066038,SLOW path dominant
8.0,-0.39999999999999947,-1.0065128183594734,0.0007659955011060691,-3.115773780519158,SLOW path dominant
8.0,-0.3499999999999994,-0.9488242663403295,0.0009851460284674475,-3.0064993886990616,SLOW path dominant
8.0,-0.2999999999999994,-0.8800676147909954,0.0014164276010952374,-2.848805618682601,SLOW path dominant
8.0,-0.24999999999999933,-0.7995183847530902,0.002294679788059699,-2.6392779094935754,SLOW path dominant
8.0,-0.1999999999999993,-0.7070358196637174,0.004201099815922202,-2.3766369996275594,SLOW path dominant
8.0,-0.14999999999999925,-0.6032760607544934,0.008659756006123813,-2.0624943442704757,SLOW path dominant
8.0,-0.0999999999999992,-0.4898373248074164,0.019866932784825292,-1.701869177531034,SLOW path dominant
8.0,-0.049999999999999156,-0.36927166417530327,0.049746256910881685,-1.303239591574972,SLOW path dominant
8.0,8.881784197001252e-16,-0.2449186624037069,0.1324426187825899,-0.8779722405444166,SLOW path dominant
8.0,0.05000000000000093,-0.12056566063211063,0.3637923548463874,-0.43914643194235514,SLOW path dominant
8.0,0.10000000000000098,2.3037127760972e-15,1.0000000000000195,4.4281917264104367e-13,FAST path dominant
8.0,0.15000000000000102,0.11343873594707904,2.6768738559249665,0.42762790612676804,FAST path dominant
8.0,0.20000000000000107,0.21719849485630272,6.830962520946322,0.8344819025225643,FAST path dominant
8.0,0.2500000000000011,0.309681059945675,16.386102818643472,1.2144756756197908,FAST path dominant
8.0,0.30000000000000115,0.39023028998357995,36.69960114707557,1.5646613443456858,FAST path dominant
8.0,0.3500000000000012,0.4589869415329135,76.689820981203,1.8847377239873133,FAST path dominant
8.0,0.40000000000000124,0.516675493552057,150.0805625854995,2.1763244490155365,FAST path dominant
8.0,0.4500000000000013,0.564382407798073,276.8267551096109,2.442208062067004,FAST path dominant
8.0,0.5000000000000013,0.6033649775538046,321.4190059332236,2.5070715535968278,FAST path dominant
8.0,0.5500000000000014,0.6349080372482765,191.704124828564,2.282631457536446,FAST path dominant
8.0,0.6000000000000014,0.660229591241158,118.61998661904904,2.0741578707066477,FAST path dominant
8.0,0.6500000000000015,0.6804275629080325,75.68386260053227,1.879003288606343,FAST path dominant
8.0,0.7000000000000015,0.6964568760935788,49.54671234868122,1.6950148423491345,FAST path dominant
8.0,0.7500000000000016,0.70912659777624,33.15328888786362,1.5205266179595294,FAST path dominant
8.0,0.8000000000000016,0.7191089176721082,22.61060047659648,1.35431209618923,FAST path dominant
8.0,0.8500000000000016,0.7269540835098001,15.686189401798995,1.195517454564165,FAST path dominant
8.0,0.9000000000000017,0.7331074523351047,11.055778331624586,1.0435893225123125,FAST path dominant
8.0,0.9500000000000017,0.7379263667688671,7.910521918584421,0.8982051382238481,FAST path dominant
8.0,1.0000000000000018,0.7416956357477213,5.743947638324179,0.7592104722352732,FAST path dominant
8.25,-1.0,-1.2407878614266226,0.003218863483906815,-2.492297441770079,SLOW path dominant
8.25,-0.95,-1.2374423262788614,0.002448332978729884,-2.611129517316888,SLOW path dominant
8.25,-0.8999999999999999,-1.2331295557624236,0.0018635622666441558,-2.7296560914840806,SLOW path dominant
8.25,-0.8499999999999999,-1.2275761536148673,0.0014255315131012712,-2.846023177338035,SLOW path dominant
8.25,-0.7999999999999998,-1.2204355710329773,0.0011014875241696803,-2.9580204170612387,SLOW path dominant
8.25,-0.7499999999999998,-1.211271245087119,0.0008649083395086113,-3.063029914871086,SLOW path dominant
8.25,-0.6999999999999997,-1.1995376487643672,0.0006950723166329945,-3.1579700076184545,SLOW path dominant
8.25,-0.6499999999999997,-1.1845602837756215,0.0005764510784233994,-3.2392375432486626,SLOW path dominant
8.25,-0.5999999999999996,-1.1655167569287932,0.0004981313336478591,-3.302656138378774,SLOW path dominant
8.25,-0.5499999999999996,-1.1414227656930682,0.00045347792338905563,-3.3434438498373424,SLOW path dominant
8.25,-0.49999999999999956,-1.1111291620820205,0.00044032969638170316,-3.3562220232071387,SLOW path dominant
8.25,-0.4499999999999995,-1.0733391501188452,0.00046227737428537833,-3.33509736122157,SLOW path dominant
8.25,-0.39999999999999947,-1.02665754189082,0.0005322804473225636,-3.2738594860000223,SLOW path dominant
8.25,-0.3499999999999994,-0.9696855224552045,0.0006818020518759769,-3.1663416954635863,SLOW path dominant
