beta,slope,Q_slow,Q_fast,delta_Q,w_slow,w_fast,ratio,log10_ratio,dominance
8.0,-1.2,0.03125,-0.0975,-0.12875,2.8284271247461903,0.4584060113052235,0.16207099956530036,-0.7902946893805083,SLOW
8.0,-1.164705882352941,0.03125,-0.09463235294117646,-0.12588235294117645,2.8284271247461903,0.4690439412643538,0.16583207577124462,-0.780331463030963,SLOW
8.0,-1.1294117647058823,0.03125,-0.09176470588235294,-0.12301470588235294,2.8284271247461903,0.4799287387405419,0.16968043282487205,-0.7703682366814179,SLOW
8.0,-1.0941176470588234,0.03125,-0.08889705882352941,-0.12014705882352941,2.8284271247461903,0.49106613262758714,0.17361809619600968,-0.7604050103318727,SLOW
8.0,-1.0588235294117647,0.03125,-0.08602941176470588,-0.11727941176470588,2.8284271247461903,0.5024619847659985,0.1776471383582446,-0.7504417839823275,SLOW
8.0,-1.0235294117647058,0.03125,-0.08316176470588235,-0.11441176470588235,2.8284271247461903,0.5141222930282023,0.18176967987970954,-0.7404785576327824,SLOW
8.0,-0.988235294117647,0.03125,-0.08029411764705882,-0.11154411764705882,2.8284271247461903,0.5260531944753473,0.18598789053918185,-0.7305153312832371,SLOW
8.0,-0.9529411764705882,0.03125,-0.07742647058823529,-0.10867647058823529,2.8284271247461903,0.5382609685873656,0.19030399046808272,-0.7205521049336919,SLOW
8.0,-0.9176470588235294,0.03125,-0.07455882352941176,-0.10580882352941176,2.8284271247461903,0.5507520405679933,0.19472025131897827,-0.7105888785841467,SLOW
8.0,-0.8823529411764706,0.03125,-0.07169117647058823,-0.10294117647058823,2.8284271247461903,0.5635329847264879,0.19923899746119736,-0.7006256522346015,SLOW
8.0,-0.8470588235294118,0.03125,-0.06882352941176471,-0.10007352941176471,2.8284271247461903,0.5766105279378233,0.20386260720419502,-0.6906624258850564,SLOW
8.0,-0.8117647058823529,0.03125,-0.06595588235294118,-0.09720588235294118,2.8284271247461903,0.5899915531831826,0.208593514049306,-0.6806991995355112,SLOW
8.0,-0.776470588235294,0.03125,-0.06308823529411764,-0.09433823529411764,2.8284271247461903,0.6036831031726138,0.21343420797054669,-0.6707359731859659,SLOW
8.0,-0.7411764705882353,0.03125,-0.06022058823529412,-0.09147058823529412,2.8284271247461903,0.6176923840517526,0.21838723672513974,-0.6607727468364208,SLOW
8.0,-0.7058823529411764,0.03125,-0.057352941176470586,-0.08860294117647058,2.8284271247461903,0.6320267691945677,0.22345520719445186,-0.6508095204868756,SLOW
8.0,-0.6705882352941176,0.03125,-0.054485294117647055,-0.08573529411764705,2.8284271247461903,0.6466938030841177,0.22864078675604874,-0.6408462941373304,SLOW
8.0,-0.6352941176470588,0.03125,-0.051617647058823525,-0.08286764705882352,2.8284271247461903,0.6617012052833698,0.23394670468759127,-0.6308830677877852,SLOW
8.0,-0.6,0.03125,-0.04875,-0.08,2.8284271247461903,0.6770568744981647,0.23937575360331073,-0.6209198414382401,SLOW
8.0,-0.5647058823529412,0.03125,-0.04588235294117647,-0.07713235294117647,2.8284271247461903,0.6927688927344687,0.2449307909238194,-0.6109566150886948,SLOW
8.0,-0.5294117647058824,0.03125,-0.04301470588235294,-0.07426470588235294,2.8284271247461903,0.708845529552101,0.25061474038002995,-0.6009933887391495,SLOW
8.0,-0.49411764705882355,0.03125,-0.04014705882352942,-0.07139705882352942,2.8284271247461903,0.7252952464171727,0.2564305935519754,-0.5910301623896045,SLOW
8.0,-0.45882352941176463,0.03125,-0.03727941176470588,-0.06852941176470588,2.8284271247461903,0.7421267011555327,0.26238141144333976,-0.5810669360400593,SLOW
8.0,-0.4235294117647058,0.03125,-0.03441176470588235,-0.06566176470588235,2.8284271247461903,0.7593487525095589,0.26847032609252724,-0.571103709690514,SLOW
8.0,-0.388235294117647,0.03125,-0.03154411764705882,-0.06279411764705882,2.8284271247461903,0.7769704648006986,0.27470054222111884,-0.5611404833409689,SLOW
8.0,-0.3529411764705882,0.03125,-0.028676470588235293,-0.05992647058823529,2.8284271247461903,0.7950011127002073,0.2810753389205836,-0.5511772569914237,SLOW
8.0,-0.3176470588235294,0.03125,-0.025808823529411763,-0.05705882352941176,2.8284271247461903,0.8134501861106,0.2875980713781322,-0.5412140306418785,SLOW
8.0,-0.2823529411764706,0.03125,-0.022941176470588236,-0.054191176470588236,2.8284271247461903,0.8323273951603832,0.29427217264262107,-0.5312508042923334,SLOW
8.0,-0.24705882352941178,0.03125,-0.02007352941176471,-0.05132352941176471,2.8284271247461903,0.851642675314696,0.3011011554314373,-0.5212875779427882,SLOW
8.0,-0.21176470588235285,0.03125,-0.01720588235294117,-0.04845588235294117,2.8284271247461903,0.8714061926045505,0.3080886139793142,-0.5113243515932429,SLOW
8.0,-0.17647058823529416,0.03125,-0.01433823529411765,-0.04558823529411765,2.8284271247461903,0.8916283489774242,0.315238225930051,-0.5013611252436978,SLOW
8.0,-0.14117647058823524,0.03125,-0.011470588235294113,-0.042720588235294114,2.8284271247461903,0.9123197877720198,0.3225537542721335,-0.4913978988941526,SLOW
8.0,-0.10588235294117654,0.03125,-0.008602941176470594,-0.03985294117647059,2.8284271247461903,0.9334913993200743,0.3300390493192719,-0.48143467254460737,SLOW
8.0,-0.07058823529411762,0.03125,-0.005735294117647056,-0.036985294117647054,2.8284271247461903,0.9551543266781656,0.33769805073690085,-0.4714714461950622,SLOW
8.0,-0.0352941176470587,0.03125,-0.0028676470588235195,-0.034117647058823516,2.8284271247461903,0.9773199714925331,0.3455347896157067,-0.461508219845517,SLOW
8.0,0.0,0.03125,0.0,-0.03125,2.8284271247461903,1.0,0.35355339059327373,-0.4515449934959718,SLOW
8.0,0.03529411764705892,0.03125,0.0028676470588235373,-0.028382352941176463,2.8284271247461903,1.0232063491681551,0.3617580740249664,-0.44158176714642655,SLOW
8.0,0.07058823529411762,0.03125,0.005735294117647056,-0.025514705882352943,2.8284271247461903,1.0469512329780242,0.3701531582051889,-0.4316185407968815,SLOW
8.0,0.10588235294117654,0.03125,0.008602941176470594,-0.022647058823529406,2.8284271247461903,1.0712471488525428,0.3787430616401939,-0.4216553144473362,SLOW
8.0,0.14117647058823524,0.03125,0.011470588235294113,-0.019779411764705886,2.8284271247461903,1.0961068842342052,0.38753230537363226,-0.41169208809779106,SLOW
8.0,0.17647058823529416,0.03125,0.01433823529411765,-0.01691176470588235,2.8284271247461903,1.1215435233153626,0.3965255153660728,-0.4017288617482459,SLOW
8.0,0.21176470588235285,0.03125,0.01720588235294117,-0.014044117647058828,2.8284271247461903,1.1475704539247016,0.40572742492974045,-0.39176563539870074,SLOW
8.0,0.24705882352941178,0.03125,0.02007352941176471,-0.011176470588235291,2.8284271247461903,1.1742013745735365,0.41514287721975646,-0.38180240904915547,SLOW
8.0,0.2823529411764707,0.03125,0.022941176470588246,-0.008308823529411754,2.8284271247461903,1.2014503016656175,0.42477682778319065,-0.37183918269961025,SLOW
8.0,0.3176470588235294,0.03125,0.025808823529411763,-0.0054411764705882375,2.8284271247461903,1.2293315768742548,0.4346343471672685,-0.36187595635006514,SLOW
8.0,0.3529411764705883,0.03125,0.0286764705882353,-0.0025735294117647,2.8284271247461903,1.2578598746906373,0.44472062358810527,-0.3519127300005199,SLOW
8.0,0.388235294117647,0.03125,0.03154411764705882,0.0002941176470588197,2.8284271247461903,1.2870502101473198,0.4550409656613704,-0.34194950365097476,SLOW
8.0,0.42352941176470593,0.03125,0.03441176470588236,0.003161764705882357,2.8284271247461903,1.316917946720946,0.4656008051963227,-0.3319862773014295,SLOW
8.0,0.45882352941176463,0.03125,0.03727941176470588,0.00602941176470588,2.8284271247461903,1.3474788044183619,0.4764057000546826,-0.3220230509518844,SLOW
8.0,0.49411764705882355,0.03125,0.04014705882352942,0.008897058823529418,2.8284271247461903,1.3787488680503823,0.4874613370758509,-0.31205982460233916,SLOW
8.0,0.5294117647058825,0.03125,0.043014705882352955,0.011764705882352955,2.8284271247461903,1.410744595697558,0.49877353507000877,-0.30209659825279395,SLOW
8.0,0.5647058823529412,0.03125,0.04588235294117647,0.014632352941176471,2.8284271247461903,1.443482827372403,0.5103482478806783,-0.2921333719032488,SLOW
8.0,0.6000000000000001,0.03125,0.04875000000000001,0.01750000000000001,2.8284271247461903,1.4769807938826427,0.5221915675183535,-0.28217014555370357,SLOW
8.0,0.6352941176470588,0.03125,0.051617647058823525,0.020367647058823525,2.8284271247461903,1.5112561259001418,0.5343097273668505,-0.2722069192041585,SLOW
8.0,0.6705882352941177,0.03125,0.05448529411764706,0.023235294117647062,2.8284271247461903,1.5463268632402938,0.5467091054640674,-0.26224369285461324,SLOW
8.0,0.7058823529411764,0.03125,0.057352941176470586,0.026102941176470586,2.8284271247461903,1.5822114643567458,0.5593962278588761,-0.2522804665050681,SLOW
8.0,0.7411764705882353,0.03125,0.06022058823529412,0.028970588235294123,2.8284271247461903,1.6189288160564663,0.572377772045918,-0.24231724015552286,SLOW
8.0,0.7764705882352942,0.03125,0.06308823529411765,0.03183823529411765,2.8284271247461903,1.6564982434402604,0.5856605704801062,-0.23235401380597764,SLOW
8.0,0.8117647058823529,0.03125,0.06595588235294118,0.034705882352941184,2.8284271247461903,1.6949395200739705,0.5992516141726885,-0.22239078745643243,SLOW
8.0,0.8470588235294116,0.03125,0.0688235294117647,0.0375735294117647,2.8284271247461903,1.7342728783957118,0.6131580563707602,-0.21242756110688737,SLOW
8.0,0.8823529411764708,0.03125,0.07169117647058826,0.04044117647058826,2.8284271247461903,1.7745190203646244,0.6273872163221675,-0.202464334757342,SLOW
8.0,0.9176470588235295,0.03125,0.07455882352941177,0.043308823529411775,2.8284271247461903,1.8156991283567379,0.6419465831277764,-0.19250110840779688,SLOW
8.0,0.9529411764705882,0.03125,0.07742647058823529,0.04617647058823529,2.8284271247461903,1.8578348763136987,0.6568438196831435,-0.18253788205825175,SLOW
8.0,0.9882352941176469,0.03125,0.08029411764705881,0.04904411764705881,2.8284271247461903,1.9009484411502102,0.6720867667116551,-0.1725746557087066,SLOW
8.0,1.023529411764706,0.03125,0.08316176470588237,0.051911764705882366,2.8284271247461903,1.9450625144262024,0.6876834468912623,-0.16261142935916129,SLOW
8.0,1.0588235294117647,0.03125,0.08602941176470588,0.05477941176470588,2.8284271247461903,1.990200314289866,0.7036420690769812,-0.15264820300961612,SLOW
8.0,1.0941176470588234,0.03125,0.08889705882352941,0.05764705882352941,2.8284271247461903,2.0363855976978487,0.7199710326213847,-0.1426849766600709,SLOW
8.0,1.1294117647058826,0.03125,0.09176470588235296,0.06051470588235296,2.8284271247461903,2.083642672919027,0.7366789317953536,-0.13272175031052574,SLOW
8.0,1.1647058823529413,0.03125,0.09463235294117649,0.06338235294117649,2.8284271247461903,2.1319964123284536,0.7537745603114201,-0.1227585239609805,SLOW
8.0,1.2,0.03125,0.0975,0.06625,2.8284271247461903,2.181472265498201,0.7712669159520792,-0.11279529761143543,SLOW
8.0,1.2352941176470587,0.03125,0.10036764705882352,0.06911764705882352,2.8284271247461903,2.232096272591998,0.7891652053055092,-0.10283207126189024,SLOW
8.0,1.2705882352941178,0.03125,0.10323529411764708,0.07198529411764708,2.8284271247461903,2.2838950780707057,0.8074788486111876,-0.09286884491234502,SLOW
8.0,1.3058823529411765,0.03125,0.1061029411764706,0.0748529411764706,2.8284271247461903,2.336895944715845,0.8262174847179585,-0.08290561856279983,SLOW
8.0,1.3411764705882352,0.03125,0.10897058823529411,0.07772058823529411,2.8284271247461903,2.391126767978566,0.8453909761571582,-0.07294239221325466,SLOW
8.0,1.3764705882352943,0.03125,0.11183823529411767,0.08058823529411767,2.8284271247461903,2.4466160906615992,0.8650094143334688,-0.06297916586370937,SLOW
8.0,1.411764705882353,0.03125,0.11470588235294119,0.08345588235294119,2.8284271247461903,2.503393117941918,0.8850831248362323,-0.053015939514164265,SLOW
8.0,1.4470588235294117,0.03125,0.1175735294117647,0.0863235294117647,2.8284271247461903,2.5614877327420342,0.9056226728740236,-0.043052713164619054,SLOW
8.0,1.4823529411764704,0.03125,0.12044117647058823,0.08919117647058823,2.8284271247461903,2.6209305114579915,0.926638868835336,-0.03308948681507389,SLOW
8.0,1.5176470588235296,0.03125,0.12330882352941178,0.09205882352941178,2.8284271247461903,2.681752740052357,0.9481427739783131,-0.023126260465528604,SLOW
8.0,1.5529411764705883,0.03125,0.1261764705882353,0.0949264705882353,2.8284271247461903,2.743986430520668,0.9701457062525167,-0.013163034115983501,SLOW
8.0,1.588235294117647,0.03125,0.1290441176470588,0.09779411764705881,2.8284271247461903,2.8076643377400097,0.9926592462557988,-0.0031998077664383592,SLOW
8.0,1.6235294117647057,0.03125,0.13191176470588234,0.10066176470588234,2.8284271247461903,2.872819976708581,1.0156952433294084,0.0067634185831068295,FAST
8.0,1.6588235294117648,0.03125,0.1347794117647059,0.1035294117647059,2.8284271247461903,2.9394876401853316,1.039265821794545,0.016726644932652093,FAST
8.0,1.6941176470588235,0.03125,0.13764705882352943,0.10639705882352943,2.8284271247461903,3.0077024167389483,1.0633833873336387,0.02668987128219728,FAST
8.0,1.7294117647058822,0.03125,0.14051470588235293,0.10926470588235293,2.8284271247461903,3.077500209215695,1.0880606335197183,0.03665309763174238,FAST
8.0,1.7647058823529413,0.03125,0.1433823529411765,0.11213235294117649,2.8284271247461903,3.1489177536358253,1.1133105484973012,0.04661632398128773,FAST
8.0,1.8,0.03125,0.14625000000000002,0.11500000000000002,2.8284271247461903,3.2219926385285005,1.1391464218183196,0.0565795503308329,FAST
8.0,1.8352941176470587,0.03125,0.14911764705882352,0.11786764705882352,2.8284271247461903,3.296763324715417,1.1655818514366896,0.06654277668037797,FAST
8.0,1.8705882352941174,0.03125,0.15198529411764705,0.12073529411764705,2.8284271247461903,3.3732691655535305,1.1926307508651939,0.07650600302992315,FAST
8.0,1.9058823529411766,0.03125,0.1548529411764706,0.12360294117647061,2.8284271247461903,3.451550427647537,1.2203073564984506,0.0864692293794684,FAST
8.0,1.9411764705882353,0.03125,0.1577205882352941,0.1264705882352941,2.8284271247461903,3.53164831204302,1.2486262351058217,0.09643245572901357,FAST
