beta,acceleration
8.0,2.2583313058969097
8.25,2.3289041592061883
8.5,2.3994770125154665
8.75,2.4700498658247456
9.0,2.540622719134024
9.25,2.6111955724433016
9.5,2.6817684257525807
9.75,2.752341279061859
10.0,2.8229141323711375
